freq,unit,landcover,geo\TIME_PERIOD	2009 	2012 	2015 	2018 
A,CVA,LCA,UKE4	13.7 	13.7 	12.1 	12.3 
A,CVA,LCA,UKF	9 	9.2 	8.2 	8.1 
A,CVA,LCA,UKF1	13.8 	12.7 	12.2 	12 
A,CVA,LCA,UKF2	16.5 	17.3 	16.2 	15.4 
A,CVA,LCA,UKF3	16.6 	20.3 	14.6 	13.9 
A,CVA,LCA,UKG	8.9 	9.3 	8.8 	8.4 
A,CVA,LCA,UKG1	15.1 	16.9 	15.7 	15.2 
A,CVA,LCA,UKG2	14.8 	14.3 	14 	11.3 
A,CVA,LCA,UKG3	16.1 	17.2 	15.3 	16.9 
A,CVA,LCA,UKH	8 	8.4 	7.5 	8.5 
A,CVA,LCA,UKH1	11.4 	12.2 	10.7 	15.1 
A,CVA,LCA,UKH2	17.2 	17.4 	15.9 	12 
A,CVA,LCA,UKH3	14.3 	15.1 	14.8 	11.5 
A,CVA,LCA,UKI	7 	7.5 	7.1 	7.6 
A,CVA,LCA,UKI3	5.1 	16.1 	18.9 	17.6 
A,CVA,LCA,UKI4	20 	5.8 	11.3 	16.2 
A,CVA,LCA,UKI5	12.2 	14.7 	13.1 	12.2 
A,CVA,LCA,UKI6	19 	20.2 	18.8 	28 
A,CVA,LCA,UKI7	17 	17.5 	16 	11.1 
